id,title,genre,publishDate
2,Mine Games,Mystery,2/7/2011
3,Demonic,Horror,8/4/2001
4,Walk on Water,Drama,11/17/2022
5,Knock on Wood,Comedy,1/31/2022
6,"God Who Wasn't There",Documentary,8/27/2003
7,Millennium Actress (Sennen joyu),Animation,8/28/2001
8,Top Floor Left Wing (Dernier etage gauche gauche),Action,11/16/2008
9,Hands Across the Table,Comedy,7/12/2019
11,"Girl on a Motorcycle",Romance,10/4/2016
13,Splinterheads,Comedy,10/24/2022
14,"Homecoming",Drama,10/26/2014
15,I Will Follow You Into the Dark,Drama,1/17/2009
16,Lonelyhearts,Drama,10/5/2011
17,Nobody Else But You (Poupoupidou),Mystery,7/6/2022
18,"Little Drummer Boy",Musical,8/20/2000
19,Let's Scare Jessica to Death,Mystery,7/10/2015
20,Bad Karma,Horror,4/2/2021
21,"Tesseract",Thriller,5/19/2014
22,Kelly's Heroes,Comedy,5/20/2001
23,"Pleasure Garden",Drama,5/6/2003
24,"Happy Ending",Drama,10/19/2011
25,Panther,Drama,1/19/2016
26,"Good Girl",Comedy,4/1/2006
27,Waking the Dead,Drama,4/16/2014
28,Ip Man,Action,3/14/2001
29,Mayerling,Romance,7/27/2003
30,Benji,Documentary,5/29/2007
32,Hongsreng fly,Romantic,12/1/2022
46,dadgsdf,Romantic,01/01/2022
48,the fk,Action,12/12/2022
